N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.857341948562017,0.8310485421033715,0.8156043257725796,0.19230769230769232,0.6632891371369236,0.2790233187190766
Model2,500,2,1,0.863549980995819,0.8478814640181588,0.8282398014480262,0.23755656108597284,0.7184045328455048,0.3322831278946348
Model3,500,3,1,0.8624097301406309,0.8278376875317457,0.842151645320015,0.3559577677224736,0.45846144512449366,0.39465778931247586
Model4,500,1,2,0.8881287216520968,0.8857938379446205,0.8641172426022663,0.3740573152337858,0.8449381195601405,0.48609937661782754
Model5,500,2,2,0.8985176738882554,0.9039172880303451,0.8931488491170825,0.6093514328808446,0.6907685658047873,0.6021603198339106
Model6,500,3,2,0.9185354111237806,0.9154699124891306,0.9078120861151792,0.5957767722473605,0.8287181566936963,0.660864155506197
Model7,800,1,2,0.8945901431648295,0.8874873692350795,0.8747577428204218,0.40648567119155354,0.8300246933165486,0.5329198394769922
Model8,800,2,2,0.8983909793487901,0.908396791239822,0.9019800238149083,0.6930618401206636,0.6725933430499004,0.6747526516299953
Model9,800,3,2,0.9158748257950082,0.9179059874195236,0.9166315038037706,0.7390648567119156,0.7069695177901879,0.7215791590618061
