N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8725452932978589,0.8431031228883485,0.8518238525010219,0.3491704374057315,0.5363432428336834,0.4140814573655695
Model2,500,2,1,0.8773596857975421,0.8545393758754954,0.8595871084960057,0.38461538461538464,0.5757436023926463,0.44802494475801463
Model3,500,3,1,0.8835677182313443,0.8628775723999931,0.8672443525814331,0.4291101055806938,0.562928440029485,0.46394478063673966
Model4,500,1,2,0.9058659571772456,0.8944112531184856,0.8987707809420463,0.5965309200603318,0.629149436835185,0.6052335557160831
Model5,500,2,2,0.9179019384264538,0.9091030296157768,0.909787646150239,0.6312217194570136,0.6776027803491745,0.6328094638991688
Model6,500,3,2,0.9075129861902952,0.9207387823845921,0.9088967303904009,0.698340874811463,0.6535779592145916,0.6456329609397047
Model7,800,1,2,0.9066261244140378,0.8948730644841945,0.8955350958625558,0.5701357466063348,0.6559396533776006,0.5832757828114735
Model8,800,2,2,0.9208159128341569,0.9241868061734954,0.9167627155971666,0.7043740573152338,0.6922182010949106,0.6641910693106452
Model9,800,3,2,0.8772329912580767,0.9154566703342759,0.8894025838927427,0.755656108597285,0.5299838156401552,0.6124383295949793
